DateID,Date
2007Nov16,2007 Nov 16
2004Apr01,2004 Apr 01
2004FebXX,2004 Feb
2006SepXX,2006 Sep
2005Jun01,2005 Jun 01
2006Jun01,2006 Jun 01
2006Sep15,2006 Sep 15
2007Apr15,2007 Apr 15
2003Apr18,2003 Apr 18
2006MarXX,2006 Mar
2006Jun30,2006 Jun 30
2006OctXX,2006 Oct
2005JulXX,2005 Jul
2003AugXX,2003 Aug
2006FebXX,2006 Feb
2006JulXX,2006 Jul
2007JanXX,2007 Jan
2006AprXX,2006 Apr
2006JunXX,2006 Jun
2006JanXX,2006 Jan
2003SepXX,2003 Sep
2003JanXX,2003 Jan
2003Feb21,2003 Feb 21
2003NovXX,2003 Nov
2006JanXX,2006 Jan
2006NovXX,2006 Nov
2006Nov01,2006 Nov 01
2006May05,2006 May 05
2006JanXX,2006 Jan
2006JanXX,2006 Jan
2006May05,2006 May 05
1995Aug25,1995 Aug 25
2005Nov16,2005 Nov 16
2004Jul01,2004 Jul 01
2004DecXX,2004 Dec
2003Sep26,2003 Sep 26
2003Aug01,2003 Aug 01
2006May26,2006 May 26
2006SepXX,2006 Sep
1995Nov03,1995 Nov 03
1995Jul18,1995 Jul 18
2003MarXX,2003 Mar
1997Dec12,1997 Dec 12
1999JanXX,1999 Jan
1997Nov14,1997 Nov 14
1997Aug15,1997 Aug 15
1997Oct31,1997 Oct 31
2006Mar17,2006 Mar 17
2006Nov17,2006 Nov 17
2005FebXX,2005 Feb
2005FebXX,2005 Feb
2005Jan15,2005 Jan 15
2005Jul22,2005 Jul 22
2005FebXX,2005 Feb
2005MarXX,2005 Mar
2005Jun24,2005 Jun 24
2005JanXX,2005 Jan
2004May01,2004 May 01
2003MarXX,2003 Mar
2005DecXX,2005 Dec
2005Jun01,2005 Jun 01
2005Feb11,2005 Feb 11
2005MarXX,2005 Mar
2005JanXX,2005 Jan
2004Jun01,2004 Jun 01
2004JulXX,2004 Jul
2004NovXX,2004 Nov
2006SepXX,2006 Sep
2006AugXX,2006 Aug
2005OctXX,2005 Oct
2004MayXX,2004 May
2004MarXX,2004 Mar
2004Feb15,2004 Feb 15
1994Sep30,1994 Sep 30
1994Dec01,1994 Dec 01
2005Sep30,2005 Sep 30
2005NovXX,2005 Nov
2003DecXX,2003 Dec
1996Jul19,1996 Jul 19
1999Feb15,1999 Feb 15
2005JulXX,2005 Jul
2006MarXX,2006 Mar
2005JanXX,2005 Jan
2005JulXX,2005 Jul
2005JunXX,2005 Jun
2005Apr15,2005 Apr 15
2004NovXX,2004 Nov
2004NovXX,2004 Nov
2005NovXX,2005 Nov
2004Apr23,2004 Apr 23
2005Jul15,2005 Jul 15
2004Aug20,2004 Aug 20
2003OctXX,2003 Oct
2006MarXX,2006 Mar
1995Dec01,1995 Dec 01
1995Dec01,1995 Dec 01
1994AugXX,1994 Aug
2003Apr04,2003 Apr 04
2004NovXX,2004 Nov
2003Sep05,2003 Sep 05
2003Nov14,2003 Nov 14
2004MarXX,2004 Mar
2004AprXX,2004 Apr
2004Jul09,2004 Jul 09
2004MarXX,2004 Mar
2007OctXX,2007 Oct
2004Oct15,2004 Oct 15
2005Apr15,2005 Apr 15
2006JulXX,2006 Jul
2005SepXX,2005 Sep
2005Jan17,2005 Jan 17
2005Aug12,2005 Aug 12
2005Aug31,2005 Aug 31
2006JulXX,2006 Jul
2006Jun15,2006 Jun 15
2007MayXX,2007 May
2006Feb20,2006 Feb 20
2006FebXX,2006 Feb
2006FebXX,2006 Feb
2006JunXX,2006 Jun
2006Sep04,2006 Sep 04
2006XXXX,2006
2006JulXX,2006 Jul
2006JunXX,2006 Jun
2006Mar24,2006 Mar 24
2005DecXX,2005 Dec
2006MarXX,2006 Mar
2006Sep05,2006 Sep 05
2006AprXX,2006 Apr
2004AugXX,2004 Aug
2005JulXX,2005 Jul
2005SepXX,2005 Sep
2005DecXX,2005 Dec
2006FebXX,2006 Feb
2006Apr14,2006 Apr 14
2006FebXX,2006 Feb
2006Oct15,2006 Oct 15
2006Mar17,2006 Mar 17
2006Feb24,2006 Feb 24
2005MayXX,2005 May
2005DecXX,2005 Dec
2005JulXX,2005 Jul
2005Jul04,2005 Jul 04
2005FebXX,2005 Feb
2005Jul29,2005 Jul 29
2005Aug01,2005 Aug 01
2005Mar14,2005 Mar 14
2005Apr01,2005 Apr 01
2005AugXX,2005 Aug
2005Mar30,2005 Mar 30
2004Feb01,2004 Feb 01
2004Nov30,2004 Nov 30
2004Apr09,2004 Apr 09
2004DecXX,2004 Dec
2004Jun15,2004 Jun 15
2004JanXX,2004 Jan
2004Sep30,2004 Sep 30
2004Aug04,2004 Aug 04
2004JunXX,2004 Jun
2005JanXX,2005 Jan
2005XXXX,2005
2004Feb01,2004 Feb 01
2004NovXX,2004 Nov
2005DecXX,2005 Dec
2000May05,2000 May 05
2004Mar12,2004 Mar 12
2004Mar12,2004 Mar 12
2005AprXX,2005 Apr
2007AprXX,2007 Apr
2006OctXX,2006 Oct
2004Dec15,2004 Dec 15
2006AprXX,2006 Apr
2005FebXX,2005 Feb
2006OctXX,2006 Oct
2006MayXX,2006 May
2006Oct03,2006 Oct 03
2005Feb18,2005 Feb 18
2006AprXX,2006 Apr
2003May30,2003 May 30
2007JanXX,2007 Jan
2007MayXX,2007 May
2007Dec01,2007 Dec 01
2007MarXX,2007 Mar
2007Dec21,2007 Dec 21
2007DecXX,2007 Dec
2007Apr13,2007 Apr 13
2008OctXX,2008 Oct
2007NovXX,2007 Nov
2007NovXX,2007 Nov
2007MarXX,2007 Mar
2007Mar18,2007 Mar 18
2007FebXX,2007 Feb
2007Jul25,2007 Jul 25
2007JanXX,2007 Jan
2007MarXX,2007 Mar
2007Nov15,2007 Nov 15
2007Apr01,2007 Apr 01
2007OctXX,2007 Oct
2007AugXX,2007 Aug
2007NovXX,2007 Nov
2007Mar02,2007 Mar 02
2007Apr12,2007 Apr 12
2007Oct26,2007 Oct 26
2007Dec01,2007 Dec 01
2007AugXX,2007 Aug
2007AugXX,2007 Aug
2007NovXX,2007 Nov
2007AprXX,2007 Apr
2007Sep01,2007 Sep 01
2007JanXX,2007 Jan
2007JanXX,2007 Jan
2007MayXX,2007 May
2007MayXX,2007 May
2007AprXX,2007 Apr
2007Oct15,2007 Oct 15
2007JunXX,2007 Jun
2008XXXX,2008
2008Dec01,2008 Dec 01
2008OctXX,2008 Oct
2007FebXX,2007 Feb
2007JulXX,2007 Jul
2007SepXX,2007 Sep
2007Jun22,2007 Jun 22
2007NovXX,2007 Nov
2008OctXX,2008 Oct
2008SepXX,2008 Sep
2008Jul10,2008 Jul 10
2008JunXX,2008 Jun
2008Aug01,2008 Aug 01
2008AprXX,2008 Apr
2008Feb15,2008 Feb 15
2008XXXX,2008
2008FebXX,2008 Feb
2008JunXX,2008 Jun
2008AprXX,2008 Apr
2008JunXX,2008 Jun
2008Nov07,2008 Nov 07
2008MarXX,2008 Mar
2008Feb19,2008 Feb 19
2008Apr25,2008 Apr 25
2008SepXX,2008 Sep
2008NovXX,2008 Nov
2008JanXX,2008 Jan
2008JunXX,2008 Jun
2008NovXX,2008 Nov
2008Apr22,2008 Apr 22
2008Jan09,2008 Jan 09
2008Jun01,2008 Jun 01
2008Jun06,2008 Jun 06
2008OctXX,2008 Oct
2008Nov12,2008 Nov 12
2008NovXX,2008 Nov
2008XXXX,2008
2008MarXX,2008 Mar
2008DecXX,2008 Dec
2008NovXX,2008 Nov
2008AugXX,2008 Aug
2008JulXX,2008 Jul
2008Sep01,2008 Sep 01
2008DecXX,2008 Dec
2008MarXX,2008 Mar
2008May15,2008 May 15
2008DecXX,2008 Dec
2008AprXX,2008 Apr
2009Feb15,2009 Feb 15
2008Feb26,2008 Feb 26
2008XXXX,2008
2008May23,2008 May 23
2008SepXX,2008 Sep
2008AprXX,2008 Apr
2008Aug30,2008 Aug 30
2008Sep10,2008 Sep 10
2008NovXX,2008 Nov
2008OctXX,2008 Oct
2008Oct31,2008 Oct 31
2010JanXX,2010 Jan
2009Jan09,2009 Jan 09
2009FebXX,2009 Feb
2009Jun01,2009 Jun 01
2009Apr01,2009 Apr 01
2009FebXX,2009 Feb
2009Feb11,2009 Feb 11
2009Dec15,2009 Dec 15
2009SepXX,2009 Sep
2009MayXX,2009 May
2009AprXX,2009 Apr
2009Apr17,2009 Apr 17
2010AprXX,2010 Apr
2009Apr01,2009 Apr 01
2009Jun05,2009 Jun 05
2009May15,2009 May 15
2008JunXX,2008 Jun
2009JanXX,2009 Jan
2009FebXX,2009 Feb
2009AprXX,2009 Apr
2009AugXX,2009 Aug
2009Jul23,2009 Jul 23
2009MarXX,2009 Mar
2009MarXX,2009 Mar
2009JulXX,2009 Jul
2009Jun26,2009 Jun 26
2009May01,2009 May 01
2009Sep04,2009 Sep 04
2009JulXX,2009 Jul
2009Sep08,2009 Sep 08
2009Oct15,2009 Oct 15
2009Apr10,2009 Apr 10
2009XXXX,2009
2009XXXX,2009
2009May01,2009 May 01
2009OctXX,2009 Oct
2009JunXX,2009 Jun
2009SepXX,2009 Sep
2009XXXX,2009
2009SepXX,2009 Sep
2009FebXX,2009 Feb
2009OctXX,2009 Oct
2009DecXX,2009 Dec
2009XXXX,2009
2009FebXX,2009 Feb
2009JanXX,2009 Jan
2009MarXX,2009 Mar
2009NovXX,2009 Nov
2009Jul01,2009 Jul 01
2009Sep25,2009 Sep 25
2009DecXX,2009 Dec
2009XXXX,2009
2009DecXX,2009 Dec
2010Jan15,2010 Jan 15
2010Mar01,2010 Mar 01
2010JanXX,2010 Jan
2010JanXX,2010 Jan
2010AprXX,2010 Apr
2010XXXX,2010
2010MarXX,2010 Mar
2010Apr15,2010 Apr 15
2010Feb03,2010 Feb 03
2010AprXX,2010 Apr
2010JunXX,2010 Jun
2009Jun18,2009 Jun 18
2009OctXX,2009 Oct
2010AugXX,2010 Aug
2010AugXX,2010 Aug
2011NovXX,2011 Nov
2010FebXX,2010 Feb
2010Jan01,2010 Jan 01
2010Mar01,2010 Mar 01
2010AprXX,2010 Apr
2010JanXX,2010 Jan
2010JunXX,2010 Jun
2010May25,2010 May 25
2011AugXX,2011 Aug
2006Jun09,2006 Jun 09
2005AugXX,2005 Aug
2004XXXX,2004
2005JunXX,2005 Jun
2004AugXX,2004 Aug
2006JulXX,2006 Jul
2003FebXX,2003 Feb
2004FebXX,2004 Feb
2004AprXX,2004 Apr
2004Oct19,2004 Oct 19
2005JanXX,2005 Jan
2005SepXX,2005 Sep
2005XXXX,2005
2005AprXX,2005 Apr
2005May17,2005 May 17
2005May24,2005 May 24
2005MayXX,2005 May
2005AugXX,2005 Aug
2005SepXX,2005 Sep
2005Oct12,2005 Oct 12
2005Nov15,2005 Nov 15
2006SepXX,2006 Sep
2007NovXX,2007 Nov
2007Aug07,2007 Aug 07
2007SepXX,2007 Sep
2007AugXX,2007 Aug
2006Aug08,2006 Aug 08
2006Jul15,2006 Jul 15
2006MarXX,2006 Mar
2007FebXX,2007 Feb
2005AprXX,2005 Apr
2004Oct01,2004 Oct 01
2005Jul14,2005 Jul 14
2005JulXX,2005 Jul
2005JunXX,2005 Jun
2005MarXX,2005 Mar
2004SepXX,2004 Sep
2004Nov19,2004 Nov 19
2000AprXX,2000 Apr
2000Apr03,2000 Apr 03
1999DecXX,1999 Dec
1999Dec23,1999 Dec 23
2001Jan19,2001 Jan 19
2000Oct06,2000 Oct 06
2000NovXX,2000 Nov
1999JulXX,1999 Jul
2001Nov06,2001 Nov 06
2000Nov17,2000 Nov 17
1999Jan22,1999 Jan 22
2000Sep18,2000 Sep 18
2000DecXX,2000 Dec
1999NovXX,1999 Nov
2001NovXX,2001 Nov
2000Sep01,2000 Sep 01
1999Dec20,1999 Dec 20
1998XXXX,1998
2000Jun23,2000 Jun 23
1998Apr01,1998 Apr 01
1999Nov12,1999 Nov 12
1999MayXX,2000 Aug-Sep
2000OctXX,1999 May
1999JanXX,2000 Oct
2000Oct01,1999 Jan
2001AugXX,2000 Oct 01
1998XXXX,2001 Aug
1999Sep21,1998
1999Jun01,1999 Sep 21
1999Mar01,1999 Jun 01
2000NovXX,1999 Mar 01
2000AugXX,2000 Nov
1998JunXX,2000 Aug
1998Jul09,1998 Jun
1998DecXX,1998 Jul 09
1999MayXX,1998 Dec
2000Mar30,1999 May
2000Jan18,2000 Mar 30
1999SepXX,2000 Jan 18
1998MarXX,1999 Sep
2001Oct30,1998 Mar
2001Aug01,2001 Oct 30
2000Feb25,2001 Aug 01
2000Sep16,1999 02
2000Jun15,2000 Feb 25
2000Jul26,2000 Sep 16
2000Jun01,2000 Jun 15
2000AprXX,2000 Jul 26
1990Jul27,2000 Jun 01
2008XXXX,2000 Apr
1995Nov21,1990 Jul 27
1995Nov28,2008
1990Jul27,1995 Nov 21
1995Sep08,1995 Nov 28
1993Dec27,1990 Jul 27
1993Sep25,1995 Sep 08
1994FebXX,1993 Dec 27
1994OctXX,1993 Sep 25
1995Mar28,1994 Feb
1995Apr14,1994 Oct
1990AugXX,1995 Mar 28
1996Jul09,1995 Apr 14
1995Sep08,1990 Aug
1995Apr21,1996 Jul 09
1995Jun16,1995 Sep 08
1995Jul14,1995 Apr 21
1995Jul15,1995 Jun 16
1995Oct06,1995 Jul 14
1994Apr26,1995 Jul 15
1995Jul14,1995 Oct 06
1995Apr14,1994 Apr 26
1995Mar24,1995 Jul 14
1994Jul19,1995 Apr 14
1993Aug01,1995 Mar 24
1996Mar29,1994 Jul 19
1996Mar28,1993 Aug 01
1996May27,1996 Mar 29
1996Jul26,1996 Mar 28
1996Aug02,1996 May 27
1996Aug13,1996 Jul 26
1996Apr26,1996 Aug 02
1996Oct11,1996 Aug 13
1996AugXX,1996 Apr 26
1996AugXX,1996 Oct 11
1996NovXX,1996 Aug
1996FebXX,1996 Aug
1996Dec15,1996 Nov
1996AugXX,1996 Feb
1997Jan01,1996 Dec 15
1997FebXX,1996 Aug
1997AprXX,1997 Jan 01
1997Apr12,1997 Feb
1997MayXX,1997 Apr
1996SepXX,1997 Apr 12
1997Jun10,1997 May
1997Jun27,1996 Sep
1997Jun15,1997 Jun 10
1996MayXX,1997 Jun 27
1996AugXX,1997 Jun 15
1996AugXX,1996 May
1996OctXX,1996 Aug
1997Sep29,1996 Aug
1997Aug07,1996 Oct
1997SepXX,1997 Sep 29
1997Oct27,1997 Aug 07
1996JunXX,1997 Sep
1996FebXX,1997 Oct 27
1997Mar07,1996 Jun
1997DecXX,1996 Feb
1997Dec10,1997 Mar 07
1998Jan16,1997 Dec
1998Apr03,1997 Dec 10
2001AugXX,1998 Jan 16
2003Sep26,1998 Apr 03
2003DecXX,2001 Aug
2003Dec05,2003 Sep 26
2003Jun15,2003 Dec
2002AugXX,2003 Dec 05
2002Nov08,2003 Jun 15
2002Dec15,2002 Aug
2002JanXX,2002 Nov 08
2003NovXX,2002 Dec 15
2002MarXX,2002 Jan
2001JulXX,2003 Nov
2002Jun01,2002 Mar
2002Aug19,2001 Jul
2002JunXX,2002 Jun 01
2001Jun01,2002 Aug 19
2002AugXX,2002 Jun
2002DecXX,2001 Jun 01
2003JanXX,2002 Aug
2002JunXX,2002 Dec
2002Apr01,2003 Jan
2003Apr15,2002 Jun
2003Aug15,2002 Apr 01
2003Dec04,2003 Apr 15
2001May28,2003 Aug 15
2001FebXX,2003 Dec 04
2002MarXX,2001 May 28
2003AugXX,2001 Feb
2003Feb01,2002 Mar
2003AprXX,2003 Aug
2001Jul27,2003 Feb 01
2003NovXX,2003 Apr
2003JanXX,2001 Jul 27
2002NovXX,2003 Nov
2002Jul26,2003 Jan
2001JanXX,2002 Nov
2003NovXX,2002 Jul 26
2001Jun08,2001 Jan
2001Mar30,2003 Nov
2003JanXX,2001 Jun 08
2002JunXX,2001 Mar 30
2001DecXX,2003 Jan
2001JanXX,2002 Jun
2001JanXX,2001 Dec
2002DecXX,2001 Jan
2002DecXX,2001 Jan
2003JanXX,2002 Dec
2002NovXX,2002 Dec
2001MarXX,2003 Jan
2003Apr15,2002 Nov
2002Jun28,2001 Mar
2002Nov15,2003 Apr 15
2002DecXX,2002 Jun 28
1998MarXX,2002 Nov 15
1998FebXX,2002 Dec
1998Apr10,1998 Mar
1998JunXX,1998 Feb
1997XXXX,1998 Apr 10
1998JunXX,1998 Jun
1998XXXX,1997
1995JunXX,1998 Jun
1998Dec22,1998
1996Aug09,1995 Jun
2000JulXX,1998 Dec 22
2000Apr14,1996 Aug 09
2004Jun15,2000 Jul
2003MarXX,2000 Apr 14
2004MarXX,2004 Jun 15
2003Aug08,2003 Mar
2003NovXX,2004 Mar
2002Sep02,2003 Aug 08
2002Mar01,2003 Nov
2008NovXX,2002 Sep 02
2007Jul01,2002 Mar 01
1993Jun15,2008 Nov
1993Jun15,2007 Jul 01
2010Jul16,1993 Jun 15
2010Aug17,1993 Jun 15
2010May05,2010 Jul 16
2010MayXX,2010 Aug 17
2010Aug10,2010 May 05
2010SepXX,2010 May
2004Sep03,2010 Aug 10
2010OctXX,2010 Sep
2010Dec17,2004 Sep 03
2010OctXX,2010 Oct
2010OctXX,2010 Dec 17
2010DecXX,2010 Oct
2010DecXX,2010 Oct
2010DecXX,2010 Dec
2010SepXX,2010 Dec
2010OctXX,2010 Dec
2010NovXX,2010 Sep
2010Oct31,2010 Oct
2010DecXX,2010 Nov
2010Oct11,2010 Oct 31
2010JulXX,2010 Dec
2010Aug27,2010 Oct 11
2010Jul26,2010 Jul
2010OctXX,2010 Aug 27
2010Nov15,2010 Jul 26
2010OctXX,2010 Oct
2010Jul23,2010 Nov 15
2010OctXX,2010 Oct
2010Aug15,2010 Jul 23
2010Jun15,2010 Oct
2010NovXX,2010 Aug 15
2011FebXX,2010 Jun 15
2010MayXX,2010 Nov
2010JunXX,2011 Feb
2010Jul16,2010 May
2010JunXX,2010 Jun
1992Oct01,2010 Jul 16
2010Nov10,2010 Jun
2011Feb18,1992 Oct 01
2010NovXX,2010 Nov 10
2011JanXX,2011 Feb 18
2010Nov16,2010 Nov
2011JanXX,2011 Jan
2010Nov30,2010 Nov 16
2011FebXX,2011 Jan
2010XXXX,2010 Nov 30
2011Jan20,2011 Feb
2010Dec20,2010
2010DecXX,2011 Jan 20
2010Nov15,2010 Dec 20
2011JanXX,2010 Dec
2010XXXX,2010 Nov 15
2011MarXX,2011 Jan
2011Apr10,2010
2009Jul23,2011 Mar
2004Aug07,2011 Apr 10
2004MarXX,2009 Jul 23
2008JunXX,2004 Aug 07
1998Jan15,2004 Mar
2011Mar24,2008 Jun
2011FebXX,1998 Jan 15
2011AprXX,2011 Mar 24
2011MayXX,2011 Feb
2011Apr30,2011 Apr
2011Jan11,2011 May
2011Jan28,2011 Apr 30
2011Mar06,2011 Jan 11
2011Feb17,2011 Jan 28
2011Jun21,2011 Mar 06
2011Mar30,2011 Feb 17
2011AprXX,2011 Jun 21
2011MayXX,2011 Mar 30
2011Feb17,2011 Apr
2011Feb17,2011 May
2011FebXX,2011 Feb 17
2011Feb22,2011 Feb 17
2011Aug18,2011 Feb
2011Mar08,2011 Feb 22
2011JanXX,2011 Aug 18
2011Mar15,2011 Mar 08
2003SepXX,2011 Jan
2000AprXX,2011 Mar 15
2000Jun08,2003 Sep
1992Jun15,2000 Apr
1995Oct02,2000 Jun 08
1996MarXX,1992 Jun 15
2001AugXX,1995 Oct 02
2009JanXX,1996 Mar
1994May01,2001 Aug
1996Jul01,2009 Jan
1999Jan08,1994 May 01
1999May15,1996 Jul 01
2009XXXX,1999 Jan 08
2009Mar09,1999 May 15
2008AugXX,2009
2008MarXX,2009 Mar 09
2008Nov15,2008 Aug
2008MarXX,2008 Mar
2007SepXX,2008 Nov 15
2001MayXX,2008 Mar
2006FebXX,2007 Sep
2001JulXX,2001 May
2006AugXX,2006 Feb
2007Aug15,2001 Jul
2002NovXX,2006 Aug
2004Jan29,2007 Aug 15
2000JunXX,2002 Nov
2007XXXX,2004 Jan 29
2003JanXX,2000 Jun
2004Jul16,2007
2010Feb03,2003 Jan
1994DecXX,2004 Jul 16
1996Mar05,2010 Feb 03
1995Dec12,1994 Dec
1992Jun15,1996 Mar 05
1998DecXX,1995 Dec 12
1999AprXX,1992 Jun 15
2000Feb18,1998 Dec
2001FebXX,1999 Apr
1995AprXX,2000 Feb 18
2001AprXX,2001 Feb
2001AugXX,1995 Apr
1998Jun23,2001 Apr
2002Sep20,2001 Aug
1993DecXX,1998 Jun 23
1996NovXX,2002 Sep 20
2003Mar14,1993 Dec
2003AugXX,1996 Nov
2003NovXX,2003 Mar 14
2002MayXX,2003 Aug
2010JulXX,2003 Nov
2010Apr23,2002 May
2009OctXX,2010 Jul
2002NovXX,2010 Apr 23
2009May22,2009 Oct
2008May23,2002 Nov
2004DecXX,2009 May 22
2011JunXX,2008 May 23
2011JulXX,2004 Dec
2011May04,2011 Jun
2011Apr18,2011 Jul
2011AugXX,2011 May 04
2011JunXX,2011 Apr 18
2011SepXX,2011 Aug
2011AugXX,2011 Jun
2011May06,2011 Sep
2011Nov21,2011 Aug
2011OctXX,2011 May 06
2011JunXX,2011 Nov 21
2011XXXX,2011 Oct
2011SepXX,2011 Jun
2011Jul15,2011
2011Jul08,2011 Sep
2011May24,2011 Jul 15
2005Sep22,2011 Jul 08
1999AprXX,2011 May 24
2001Feb01,2005 Sep 22
2001JulXX,1999 Apr
2001AprXX,2001 Feb 01
1994Oct28,2001 Jul
2002Jun07,2001 Apr
2005Mar18,1994 Oct 28
2006Apr08,2002 Jun 07
2008OctXX,2005 Mar 18
2009Feb19,2006 Apr 08
2004Apr30,2008 Oct
1992Aug01,2009 Feb 19
1996Jun01,2004 Apr 30
2001Oct10,1992 Aug 01
2003Sep01,1996 Jun 01
2011JanXX,2001 Oct 10
2011Apr26,2003 Sep 01
2011OctXX,2011 Jan
2009Sep15,2011 Apr 26
2009Feb11,2011 Oct
2006Apr15,2009 Sep 15
2003OctXX,2009 Feb 11
2002Feb05,2006 Apr 15
2001SepXX,2003 Oct
2007May11,2002 Feb 05
2008May06,2001 Sep
2008MarXX,2007 May 11
2008Jul24,2008 May 06
2009XXXX,2008 Mar
2008MarXX,2008 Jul 24
2001SepXX,2009
1999AugXX,2008 Mar
2005NovXX,2001 Sep
2011Mar15,1999 Aug
2011JunXX,2005 Nov
2010JulXX,2011 Mar 15
2009FebXX,2011 Jun
2008Oct07,2010 Jul
2007OctXX,2009 Feb
2007Sep04,2008 Oct 07
2005Oct07,2007 Oct
2005JulXX,2007 Sep 04
2004Jul20,2005 Oct 07
2003MarXX,2005 Jul
2003JanXX,2004 Jul 20
2001Oct23,2003 Mar
2002MayXX,2003 Jan
2003May30,2001 Oct 23
2005NovXX,2002 May
